Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,BR,BRA,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-17.244,-22.978,-28.268,-28.458,-6.034,-18.253,-8.471,8.256,11.306,17.705,3.435,-12.537,-26.196,-45.747,-50.877,-80.405,-90.715,-78.876,-81.782,-69.831,-20.632,-12.273,-20.152,-18.137,,,
Brazil,BR,BRA,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,250.461,274.698,297.305,305.701,293.002,317.976,314.958,298.359,290.569,301.537,317.391,337.214,366.896,406.795,387.292,464.28,492.956,513.276,547.583,559.899,487.601,442.53,462.806,436.896,,,
Brazil,BR,BRA,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,40.941,40.405,39.824,40.561,51.743,62.202,69.031,81.264,83.793,94.603,90.83,89.501,92.905,94.263,72.042,80.852,89.068,94.204,94.079,98.348,114.444,101.626,108.42,116.016,127.374,115.357,136.537
Brazil,BR,BRA,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,-17.243,-22.977,-28.267,-28.456,-6.033,-18.251,-8.47,8.256,11.307,17.706,3.436,-12.537,-26.195,-45.747,-50.877,-80.404,-90.714,-78.876,-81.782,-69.831,-20.632,-12.273,-20.152,-18.136,-5.072,-5.723,-13.421
Brazil,BR,BRA,CO2 Emissions Embodied in Gross Imports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTT,CO2 Emissions Embodied in Trade; Imports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,57.369,62.315,66.868,67.663,57.201,79.897,77.052,72.762,72.286,76.816,87.098,101.609,118.501,139.682,122.023,160.449,178.902,172.243,174.827,167.261,134.31,113.207,127.696,133.367,132.446,121.08,149.958
Brazil,BR,BRA,CO2 Emissions Embodied in Production,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTP,CO2 Emissions Embodied in Production,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Production",Units,233.217,251.72,269.037,277.242,286.968,299.723,306.487,306.615,301.875,319.243,320.826,324.676,340.699,361.048,336.415,383.875,402.241,434.4,465.8,490.068,466.968,430.257,442.654,418.759,,,
