"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1979-01-01","1979-12-31",1979,15,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1980-01-01","1980-12-31",1980,13,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1981-01-01","1981-12-31",1981,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1982-01-01","1982-12-31",1982,375,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1991-01-01","1991-12-31",1991,46,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1992-01-01","1992-12-31",1992,366,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1993-01-01","1993-12-31",1993,690,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1994-01-01","1994-12-31",1994,17,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"1995-01-01","1995-01-31",1995,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"1995-02-01","1995-02-28",1995,3,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"1995-03-01","1995-03-31",1995,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",475,"AU-TAS",NA,"1995-04-01","1995-04-30",1995,5,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",468,"AU-ACT",NA,"1995-05-01","1995-05-31",1995,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",475,"AU-TAS",NA,"1995-06-01","1995-06-30",1995,3,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",474,"AU-SA",NA,"1995-07-01","1995-07-31",1995,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1995-08-01","1995-08-31",1995,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1995-09-01","1995-09-30",1995,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1995-10-01","1995-10-31",1995,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1995-11-01","1995-11-30",1995,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",474,"AU-SA",NA,"1995-12-01","1995-12-31",1995,6,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1996-01-01","1996-01-31",1996,8,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1996-02-01","1996-02-29",1996,3,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",468,"AU-ACT",NA,"1996-03-01","1996-03-31",1996,2,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1996-04-01","1996-04-30",1996,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",468,"AU-ACT",NA,"1996-05-01","1996-05-31",1996,1,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1996-06-01","1996-06-30",1996,0,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1996-07-01","1996-07-31",1996,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",474,"AU-SA",NA,"1996-08-01","1996-08-31",1996,0,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"1996-09-01","1996-09-30",1996,3,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1996-10-01","1996-10-31",1996,10,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1996-11-01","1996-11-30",1996,4,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"1996-12-01","1996-12-31",1996,84,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1997-01-01","1997-12-31",1997,205,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-01-01","1998-01-31",1998,51,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-02-01","1998-02-28",1998,91,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1998-03-01","1998-03-31",1998,46,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"1998-04-01","1998-04-30",1998,33,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-05-01","1998-05-31",1998,45,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-06-01","1998-06-30",1998,34,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-07-01","1998-07-31",1998,18,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-08-01","1998-08-31",1998,17,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-09-01","1998-09-30",1998,32,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1998-10-01","1998-10-31",1998,77,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"1998-11-01","1998-11-30",1998,72,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"1998-12-01","1998-12-31",1998,65,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"1999-01-01","1999-12-31",1999,181,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"2000-01-01","2000-12-31",2000,217,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"2001-01-01","2001-01-31",2001,9,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-02-01","2001-02-28",2001,8,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"2001-03-01","2001-03-31",2001,27,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2001-04-01","2001-04-30",2001,16,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2001-05-01","2001-05-31",2001,33,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",468,"AU-ACT",NA,"2001-06-01","2001-06-30",2001,9,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-07-01","2001-07-31",2001,26,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2001-08-01","2001-08-31",2001,8,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-09-01","2001-09-30",2001,16,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-10-01","2001-10-31",2001,8,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-11-01","2001-11-30",2001,13,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2001-12-01","2001-12-31",2001,10,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"2002-01-01","2002-01-31",2002,24,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2002-02-01","2002-02-28",2002,17,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2002-03-01","2002-03-31",2002,43,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",471,"AU-NT",NA,"2002-04-01","2002-04-30",2002,30,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2002-05-01","2002-05-31",2002,21,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2002-06-01","2002-06-30",2002,15,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2002-07-01","2002-07-31",2002,15,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2002-08-01","2002-08-31",2002,10,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2002-09-01","2002-09-30",2002,14,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2002-10-01","2002-10-31",2002,11,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2002-11-01","2002-11-30",2002,12,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2002-12-01","2002-12-31",2002,12,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"2003-01-01","2003-12-31",2003,868,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"2004-01-01","2004-12-31",2004,356,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"2005-01-01","2005-12-31",2005,219,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-01-01","2006-01-31",2006,23,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-02-01","2006-02-28",2006,21,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-03-01","2006-03-31",2006,14,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-04-01","2006-04-30",2006,14,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-05-01","2006-05-31",2006,23,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-06-01","2006-06-30",2006,20,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-07-01","2006-07-31",2006,19,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-08-01","2006-08-31",2006,9,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-09-01","2006-09-30",2006,10,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-10-01","2006-10-31",2006,13,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2006-11-01","2006-11-30",2006,15,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2006-12-01","2006-12-31",2006,7,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2007-01-01","2007-01-31",2007,29,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-02-01","2007-02-28",2007,27,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-03-01","2007-03-31",2007,38,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-04-01","2007-04-30",2007,43,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-05-01","2007-05-31",2007,22,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-06-01","2007-06-30",2007,17,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2007-07-01","2007-07-31",2007,24,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2007-08-01","2007-08-31",2007,30,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-09-01","2007-09-30",2007,10,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-10-01","2007-10-31",2007,24,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2007-11-01","2007-11-30",2007,23,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2007-12-01","2007-12-31",2007,29,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",17,"AUS",NA,"2008-01-01","2008-12-31",2008,557,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2009-01-01","2009-01-31",2009,344,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2009-02-01","2009-02-28",2009,390,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2009-03-01","2009-03-31",2009,277,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2009-04-01","2009-04-30",2009,103,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2009-05-01","2009-05-31",2009,48,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2009-06-01","2009-06-30",2009,44,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2009-07-01","2009-07-31",2009,32,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",476,"AU-VIC",NA,"2009-08-01","2009-08-31",2009,36,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2009-09-01","2009-09-30",2009,20,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2009-10-01","2009-10-31",2009,29,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2009-11-01","2009-11-30",2009,38,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2009-12-01","2009-12-31",2009,43,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2010-01-01","2010-01-31",2010,48,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-02-01","2010-02-28",2010,59,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-03-01","2010-03-31",2010,56,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-04-01","2010-04-30",2010,70,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-05-01","2010-05-31",2010,90,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-06-01","2010-06-30",2010,114,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-07-01","2010-07-31",2010,142,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-08-01","2010-08-31",2010,88,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-09-01","2010-09-30",2010,93,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-10-01","2010-10-31",2010,146,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-11-01","2010-11-30",2010,172,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2010-12-01","2010-12-31",2010,150,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-01-01","2011-01-31",2011,163,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-02-01","2011-02-28",2011,142,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2011-03-01","2011-03-31",2011,63,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2011-04-01","2011-04-30",2011,45,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-05-01","2011-05-31",2011,39,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2011-06-01","2011-06-30",2011,37,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-07-01","2011-07-31",2011,49,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-08-01","2011-08-31",2011,33,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",473,"AU-QLD",NA,"2011-09-01","2011-09-30",2011,34,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-10-01","2011-10-31",2011,35,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",470,"AU-NSW",NA,"2011-11-01","2011-11-30",2011,58,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2011-12-01","2011-12-31",2011,123,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2012-01-01","2012-01-31",2012,263,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2012-02-01","2012-02-29",2012,217,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2012-03-01","2012-03-31",2012,212,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
"AUSTRALIA",NA,NA,"AUSTRALIA","AUS",477,"AU-WA",NA,"2012-04-01","2012-04-30",2012,185,"Probable and confirmed","Admin0","Month","MOH-AUS-19912023-Y01-00"
